"date","order_id","category_id","subcategory_id","brand_id","price"
2020-10-01,1265332,8,49,241,16.18
2020-10-01,1264860,2,20,431,127.29
2020-10-01,1257044,2,28,703,104.14
2020-10-01,1265236,2,52,168,64.79
2020-10-01,1251812,2,51,907,162.01
2020-10-01,1265310,2,20,703,208.31
2020-10-01,1264805,2,20,279,231.46
2020-10-01,1250133,8,49,333,46.27
2020-10-01,1255337,8,7,807,3.45
2020-10-01,1256025,2,20,703,208.31
2020-10-01,1250053,8,50,652,145.81
2020-10-01,1265319,2,26,663,37.01
2020-10-01,1264421,2,20,703,138.87
2020-10-01,1264434,2,28,409,39.33
2020-10-01,1250133,8,49,333,39.33
2020-10-01,1265306,8,49,860,87.94
2020-10-01,1264445,2,51,703,532.38
2020-10-01,1264053,2,52,874,372.66
2020-10-01,1264366,2,20,431,101.83
2020-10-01,1251812,2,51,215,358.77
2020-10-01,1264460,2,28,659,203.68
2020-10-01,1265538,2,20,659,856.23
2020-10-01,1283602,8,50,652,185.16
2020-10-01,1256792,2,28,409,53.22
2020-10-01,1264384,2,20,703,856.46
2020-10-01,1256502,8,49,907,60.16
2020-10-01,1264520,2,51,703,347.20
2020-10-01,1264562,2,20,659,418.96
2020-10-01,1264661,2,20,431,127.29
2020-10-01,1265398,2,28,431,30.07
2020-10-01,1264461,2,20,703,347.20
2020-10-01,1264511,2,52,659,555.53
2020-10-01,1265310,2,20,256,5.56
2020-10-01,1265310,2,51,186,8.34
2020-10-01,1264667,2,52,659,555.53
2020-10-01,1264601,2,20,196,300.90
2020-10-01,1265513,2,20,703,138.87
2020-10-01,1265536,2,20,703,208.31
2020-10-01,1265414,2,28,431,30.07
2020-10-01,1264677,2,28,703,81.00
2020-10-01,1256299,8,50,241,13.63
2020-10-01,1265445,8,50,81,15.72
2020-10-01,1264800,2,52,703,162.01
2020-10-01,1264851,2,52,659,555.53
2020-10-01,1264694,2,20,279,300.90
2020-10-01,1264849,2,20,659,925.67
2020-10-01,1264802,2,20,703,208.31
2020-10-01,1264288,2,20,703,300.90
2020-10-01,1250155,2,52,659,601.83
2020-10-01,1265467,2,20,703,138.87
2020-10-01,1264232,2,20,703,300.90
2020-10-01,1250183,2,20,282,124.98
2020-10-01,1254681,2,28,431,30.07
2020-10-01,1264325,2,51,431,347.20
2020-10-01,1250350,2,20,703,601.83
2020-10-01,1264337,2,20,703,347.20
2020-10-01,1264249,2,20,703,173.59
2020-10-01,1250199,2,20,279,324.05
2020-10-01,1250350,2,20,279,208.31
2020-10-01,1256628,8,49,333,28.91
2020-10-01,1265488,8,49,333,25.44
2020-10-01,1250110,8,49,333,138.87
2020-10-01,1251913,8,49,333,60.16
2020-10-01,1265512,4,15,788,3.45
2020-10-01,1256124,8,7,786,5.79
2020-10-01,1256342,8,49,907,60.16
2020-10-01,1257020,8,49,333,16.18
2020-10-01,1256281,8,7,807,3.45
2020-10-01,1265452,8,49,390,40.49
2020-10-01,1254975,8,7,807,3.45
2020-10-01,1265317,8,49,333,18.50
2020-10-01,1265505,8,50,767,10.39
2020-10-01,1257020,8,49,333,24.28
2020-10-01,1265298,4,15,788,1.39
2020-10-01,1250147,8,49,670,229.14
2020-10-01,1265314,8,50,860,10.86
2020-10-01,1250314,8,7,807,3.45
2020-10-01,1264519,8,49,860,14.56
2020-10-01,1250220,4,53,195,11.55
2020-10-01,1265488,4,15,251,1.62
2020-10-01,1266737,8,49,860,53.22
2020-10-01,1265313,8,50,241,7.38
2020-10-01,1250173,8,49,119,19.88
2020-10-01,1250272,8,50,652,122.66
2020-10-01,1256187,4,53,195,6.00
2020-10-01,1254486,8,50,241,6.92
2020-10-01,1256187,4,53,195,4.61
2020-10-01,1250147,8,49,670,92.57
2020-10-01,1250046,6,3,894,15.49
2020-10-01,1375355,10,17,806,694.42
2020-10-01,1250235,12,37,680,219.88
2020-10-01,1265393,12,37,907,0.23
2020-10-01,1250122,5,49,215,462.94
2020-10-01,1250060,12,37,806,60.16
2020-10-01,1256025,12,37,637,37.01
2020-10-01,1250117,5,49,215,462.94
2020-10-01,1256742,12,37,574,47.20
2020-10-01,1265283,12,37,149,31.23
2020-10-01,1264702,10,17,303,370.35
2020-10-01,1256342,3,6,703,32.38
2020-10-01,1256342,3,6,703,48.59
2020-10-01,1255938,12,37,637,83.31
2020-10-01,1255938,12,37,899,129.61
2020-10-01,1265335,3,6,827,34.70
2020-10-01,1264691,5,49,907,43.96
2020-10-01,1264859,12,37,577,21.97
2020-10-01,1265398,12,37,860,10.86
2020-10-01,1250090,5,49,703,451.37
2020-10-01,1264594,5,49,95,347.20
2020-10-01,1250215,12,37,810,61.32
2020-10-01,1255962,3,6,703,16.18
2020-10-01,1255965,10,17,806,403.45
2020-10-01,1253372,12,37,597,4.14
2020-10-01,1264569,5,49,632,416.64
2020-10-01,1264859,12,37,144,23.13
2020-10-01,1250275,5,23,347,113.40
2020-10-01,1250084,5,49,848,57.85
2020-10-01,1254160,12,37,136,55.53
2020-10-01,1250862,12,37,753,32.38
2020-10-01,1254621,12,37,208,23.13
2020-10-01,1265442,12,37,691,8.08
2020-10-01,1265329,12,37,136,97.20
2020-10-01,1264859,12,37,78,5.76
2020-10-01,1264290,12,37,806,48.59
2020-10-01,1264859,12,37,598,64.79
2020-10-01,1254160,12,37,136,19.65
2020-10-01,1255275,5,49,848,99.51
2020-10-01,1264549,5,23,574,231.46
2020-10-01,1264354,5,49,907,300.90
2020-10-01,1251774,5,49,215,289.33
2020-10-01,1265247,5,23,703,9.24
2020-10-01,1251913,5,23,637,138.87
2020-10-01,1252443,5,49,215,300.90
2020-10-01,1253396,5,49,95,648.13
2020-10-01,1253396,5,49,95,405.07
2020-10-01,1253396,5,49,95,895.81
2020-10-01,1253396,5,49,95,324.05
2020-10-01,1253396,5,49,691,206.00
2020-10-01,1253396,5,49,95,462.94
2020-10-01,1256650,5,42,664,101.83
2020-10-01,1265204,5,13,431,51.60
2020-10-01,1265232,5,23,907,9.24
2020-10-01,1265317,5,49,907,43.96
2020-10-01,1265356,5,13,254,18.50
2020-10-01,1265362,5,49,907,9.24
2020-10-01,1265441,5,49,848,57.85
2020-10-01,1265518,5,49,51,30.07
2020-10-01,1265540,5,49,906,81.00
2020-10-01,1254442,5,23,907,9.24
2020-10-01,1250228,5,49,703,115.72
2020-10-01,1256350,5,23,637,115.72
2020-10-01,1264069,5,49,632,416.64
2020-10-01,1255400,5,23,333,133.08
2020-10-01,1254017,5,49,632,270.81
2020-10-01,1256350,5,49,703,127.29
2020-10-01,1255566,5,49,907,46.27
2020-10-01,1264273,5,49,447,175.90
2020-10-01,1265511,5,47,528,34.70
2020-10-01,1265511,5,49,51,23.13
2020-10-01,1253660,5,23,907,43.96
2020-10-01,1257011,5,49,447,532.38
2020-10-01,1252981,5,13,762,115.67
2020-10-01,1251613,5,49,95,347.20
2020-10-01,1250024,5,23,333,92.57
2020-10-01,1256705,5,13,753,27.75
2020-10-01,1252614,5,49,703,358.77
2020-10-01,1265438,5,49,907,57.85
2020-10-01,1251628,5,49,703,289.33
2020-10-01,1252614,5,49,95,462.94
2020-10-01,1254021,5,23,333,289.33
2020-10-01,1265391,5,23,288,23.13
2020-10-01,1252443,5,23,215,474.51
2020-10-01,1264335,5,49,51,18.50
2020-10-01,1251774,5,23,347,124.98
2020-10-01,1256299,5,49,333,42.80
2020-10-01,1265472,5,49,717,60.16
2020-10-01,1256619,5,49,691,361.09
2020-10-01,1264630,5,49,757,324.05
2020-10-01,1250230,2,20,703,231.46
2020-10-01,1264500,2,20,703,173.59
2020-10-01,1254164,2,51,495,393.50
2020-10-01,1253238,2,20,279,694.42
2020-10-01,1264261,2,20,703,300.90
2020-10-01,1264312,2,20,703,208.31
2020-10-01,1264312,2,12,703,162.01
2020-10-01,1264509,2,20,703,138.87
2020-10-01,1264528,2,20,279,300.90
2020-10-01,1264796,2,20,279,138.87
2020-10-01,1250724,2,51,703,763.87
2020-10-01,1264858,2,20,659,925.67
2020-10-01,1256988,2,20,703,173.59
2020-10-01,1251185,2,20,703,300.90
2020-10-01,1265239,2,20,431,127.29
2020-10-01,1264039,2,20,703,347.20
2020-10-01,1264279,2,20,703,300.90
2020-10-01,1264267,2,52,659,486.09
2020-10-01,1264255,2,20,703,208.31
2020-10-01,1265493,2,20,703,208.31
2020-10-01,1265418,2,28,431,30.07
2020-10-01,1265349,2,51,495,324.05
2020-10-01,1264827,2,51,215,370.35
2020-10-01,1264823,2,20,703,601.83
2020-10-01,1264822,2,20,659,208.31
2020-10-01,1264744,2,20,703,208.31
2020-10-01,1264731,2,51,703,555.53
2020-10-01,1256818,2,28,409,10.86
2020-10-01,1256774,2,20,659,856.23
2020-10-01,1264718,2,20,659,1212.94
2020-10-01,1264647,2,28,806,53.22
2020-10-01,1250181,2,52,659,555.53
2020-10-01,1251666,2,51,215,1851.83
2020-10-01,1263877,2,20,703,1215.25
2020-10-01,1264588,2,52,659,486.09
2020-10-01,1264555,2,28,659,203.68
2020-10-01,1264527,2,20,703,254.61
2020-10-01,1264480,2,51,68,138.87
2020-10-01,1264252,2,20,703,300.90
2020-10-01,1264470,2,26,808,22.89
2020-10-01,1250206,2,12,659,1326.37
2020-10-01,1264470,2,20,703,173.59
2020-10-01,1264470,2,20,703,138.87
2020-10-01,1264448,2,20,703,254.61
2020-10-01,1264442,2,28,659,203.68
2020-10-01,1256984,2,28,278,162.01
2020-10-01,1264415,2,20,431,208.31
2020-10-01,1256937,2,51,215,428.22
2020-10-01,1256342,2,20,279,416.64
2020-10-01,1264522,2,20,431,208.31
2020-10-01,1264673,2,20,659,532.38
2020-10-01,1264701,2,20,659,810.16
2020-10-01,1264735,2,20,703,208.31
2020-10-01,1264738,2,20,703,173.59
2020-10-01,1264793,2,52,659,393.50
2020-10-01,1264818,2,12,703,208.31
2020-10-01,1264842,2,52,196,138.87
2020-10-01,1251108,2,20,279,1157.38
2020-10-01,1251108,2,20,279,208.31
2020-10-01,1265372,2,20,703,104.14
2020-10-01,1252478,2,12,703,208.31
2020-10-01,1264310,2,52,703,277.75
2020-10-01,1264306,2,20,279,208.31
2020-10-01,1251117,2,20,703,1215.25
2020-10-01,1264277,2,20,703,208.31
2020-10-01,1251117,2,20,703,208.31
2020-10-01,1250233,2,20,659,1433.54
2020-10-01,1264303,2,20,703,231.46
2020-10-01,1250202,2,20,703,138.87
2020-10-01,1250125,2,20,659,856.23
2020-10-01,1250107,2,20,703,416.64
2020-10-01,1254687,2,20,659,462.71
2020-10-01,1252443,2,52,837,34.70
2020-10-01,1265372,2,20,703,173.59
2020-10-01,1265279,2,52,659,393.50
2020-10-01,1264422,2,20,659,601.83
2020-10-01,1256340,2,20,703,254.61
2020-10-01,1264439,2,20,431,101.83
2020-10-01,1264481,2,51,703,370.35
2020-10-01,1254687,2,20,659,208.31
2020-10-01,1265346,5,23,119,67.11
2020-10-01,1250277,5,49,284,97.20
2020-10-01,1256502,5,49,691,337.94
2020-10-01,1256502,5,49,691,296.27
2020-10-01,1256448,5,49,95,706.00
2020-10-01,1256502,5,49,632,372.66
2020-10-01,1256502,5,49,691,4.61
2020-10-01,1254204,5,49,333,56.69
2020-10-01,1251828,5,49,353,2.29
2020-10-01,1252465,5,54,384,136.55
2020-10-01,1250085,5,49,215,462.94
2020-10-01,1264044,5,49,215,370.35
2020-10-01,1251842,5,13,51,20.81
2020-10-01,1264505,5,49,447,175.90
2020-10-01,1264407,5,42,333,41.64
2020-10-01,1265537,5,23,347,101.60
2020-10-01,1250166,5,49,906,354.14
2020-10-01,1264294,5,49,130,129.61
2020-10-01,1264407,5,47,528,34.70
2020-10-01,1264553,5,23,215,87.94
2020-10-01,1264294,5,49,663,50.90
2020-10-01,1256978,5,49,703,462.94
2020-10-01,1251662,5,49,215,636.55
2020-10-01,1265492,5,49,637,115.72
2020-10-01,1265473,5,49,637,115.72
2020-10-01,1265464,5,23,793,92.57
2020-10-01,1256208,5,23,907,9.24
2020-10-01,1251662,5,49,691,187.48
2020-10-01,1265210,5,49,907,37.01
2020-10-01,1265332,5,49,664,67.11
2020-10-01,1265506,5,49,51,30.07
2020-10-01,1251662,5,49,254,30.07
2020-10-01,1251719,5,49,637,41.64
2020-10-01,1253546,5,49,215,1157.38
2020-10-01,1254520,5,49,215,856.46
2020-10-01,1251662,5,49,691,296.27
2020-10-01,1250277,5,23,333,50.90
2020-10-01,1263874,2,20,703,173.59
2020-10-01,1264468,2,51,703,277.75
2020-10-01,1264537,2,20,196,162.01
2020-10-01,1264560,2,20,703,254.61
2020-10-01,1264452,2,20,703,173.59
2020-10-01,1264345,2,20,703,138.87
2020-10-01,1250254,2,52,196,138.87
2020-10-01,1264561,2,20,659,856.23
2020-10-01,1252292,2,20,279,138.87
2020-10-01,1252687,2,20,703,138.87
2020-10-01,1264560,2,20,703,138.87
2020-10-01,1250146,2,52,659,601.83
2020-10-01,1250247,2,20,431,208.31
2020-10-01,1264616,2,20,703,115.72
2020-10-01,1250580,2,51,215,578.68
2020-10-01,1264767,2,28,659,203.68
2020-10-01,1250130,2,28,703,81.00
2020-10-01,1251642,2,28,659,324.05
2020-10-01,1250070,2,20,703,532.38
2020-10-01,1250052,2,20,431,127.29
2020-10-01,1250044,2,20,659,532.38
2020-10-01,1264539,2,20,703,347.20
2020-10-01,1255912,2,28,659,203.68
2020-10-01,1254530,2,20,703,138.87
2020-10-01,1264394,2,20,703,173.59
2020-10-01,1256983,2,20,703,347.20
2020-10-01,1254548,2,20,279,208.31
2020-10-01,1264816,2,51,703,277.75
2020-10-01,1264816,2,51,703,532.38
2020-10-01,1264831,2,52,659,393.50
2020-10-01,1264838,2,20,279,231.46
2020-10-01,1257009,2,20,659,856.23
